"longitude","latitude"
2617563.317348,1175413.20667368
2497166.7951911,1120674.52250415
2640997.70193595,1090875.84275665
2576424.16002568,1195846.49133988
2693989.3606912,1181791.39729284
2641935.64739262,1155031.43790935
2624969.90881646,1220455.77567793
2549303.92239791,1147721.70699742
2625005.21923627,1092837.90723322
2565918.01177228,1137725.01454927
2728850.84902925,1075507.15179415
2621172.12800037,1149600.98693063
2557656.32300006,1099518.07360422
2634757.65526254,1155431.30961504
2615166.16654758,1103324.48704929
2606876.54889554,1278972.35266803
2590380.73973116,1065376.33434495
2679507.25099221,1212265.20586876
2623532.7222669,1096095.05353996
2637209.19924193,1162055.99763311
2689451.56259512,1198559.36650588
2785181.08439712,1151914.67390021
2836711.24137573,1207093.75178258
2629850.00925112,1180980.75486213
2681348.47654378,1143506.86913662
2575585.42958337,1086063.00314383
2734787.28649332,1146628.73347726
2815236.44894503,1224876.81935427
2839454.3637194,1145736.44050465
2681856.06147677,1194981.65445857
2554482.19987511,1145352.8462219
2769498.92650271,1100892.27936037
2624181.76377438,1095863.5872178
2554774.00254991,1085749.61523739
2582832.56436,1102732.90193649
2625489.40378343,1153370.09430143
2588837.31426902,1069884.1017591
2836473.07468745,1189062.84086397
2546821.31641916,1089022.59799805
2563230.42375593,1088067.44533692
2755299.27304321,1184445.47649278
2557196.70378007,1092175.51829253
2556825.50247556,1086122.33615312
2750665.91185148,1207639.12733192
2627316.10117036,1082972.43309605
2645591.0216312,1163856.02724201
2514634.92304084,1073192.84120337
2601166.3115221,1174047.32773848
2740554.54878378,1093538.2499394
2679541.04325791,1244845.7311651
2797814.81082621,1224731.21580394
2732106.39151847,1160791.38222896
2791692.26868551,1143263.3080957
2557189.47774249,1080918.81692316
2645493.58212336,1121821.24773063
2501777.89240983,1144939.75461967
2607251.99830892,1122729.75727287
2692679.9210823,1205768.17929868
2553787.16570074,1123311.44392411
2719339.26076793,1084912.48241611
2559242.77300189,1090735.88676689
2538547.50013658,1150834.75614111
2622953.24842973,1149484.10023074
2619275.01530592,1165386.03921542
2679608.46200159,1212082.99354025
2565077.23311868,1074800.27921177
2553263.33102565,1086752.48409071
2619869.88235371,1247163.58190749
2564937.40154392,1094026.93300182
2677964.18586607,1225998.73816716
2499353.40168001,1117859.97007539
2666401.43252302,1211495.69116022
2645022.44400118,1162664.12297102
2642843.79603183,1159807.51563112
2628261.39253018,1258026.0026848
2621172.35574758,1093332.20172861
2498329.88224792,1083843.26149912
2498017.20718551,1083821.03590067
2582136.1478623,1148165.24475121
2740924.75566681,1092460.42617386
2759137.53652474,1208366.83486302
2562495.04614646,1085948.36715706
2722020.61045808,1125328.53387547
2623858.66934539,1096463.73240514
2557454.38362605,1080881.04779914
2631901.60562479,1170536.98900801
2683930.36689805,1083867.68502908
2803185.61989049,1088664.68617438
2690518.09947609,1112175.71532799
2609656.49622735,1190303.57293287
2574094.46234709,1123388.82999127
2634801.97607905,1155247.13858604
2723407.401515,1094831.6463173
2640929.35355214,1091033.46708207
2612413.64191958,1100775.20601328
2559572.51813983,1086819.14065456
2696358.53542007,1155642.38402137
2598954.24881103,1175639.13545481
2620185.82657275,1093600.66102735
2572775.42430624,1159353.65736704
2714995.25629311,1094950.49808321
2671715.43519676,1206526.98427135
2640757.92585694,1132013.29128695
2743151.67651527,1097050.89541291
2568435.90121781,1126836.84375844
2640146.80050694,1159364.03714106
2570163.99322388,1219704.63196278
2778727.03512755,1145163.42632268
2650994.52777802,1143345.39378217
2804653.60515794,1233839.99758849
2822024.5713816,1264859.68175063
2644623.73359135,1168984.35586291
2561105.73444505,1083595.39400153
2662756.14072505,1209774.86059106
2611299.49941867,1199278.52525109
2593843.72843263,1119630.29629762
2621613.11665725,1150409.50390005
2806887.29626077,1157897.94603843
2833720.52840273,1119459.90853477
2662189.81694138,1203473.36797333
2836583.25342088,1132298.53640694
2640167.5001502,1159213.9868108
2557180.25704503,1080987.69735496
2753560.20529219,1076481.15825164
2806687.11449282,1226569.11750926
2617149.15006742,1091701.06134399
2651150.48683147,1125978.43072059
2653806.07427027,1180721.03148361
2669648.82895804,1209706.26496816
2638781.13025043,1078072.65385823
2758184.94018972,1223194.49954139
2594339.07474966,1120482.00147444
2799563.59261898,1202037.3911997
2814657.83281837,1187669.72210242
2645792.356449,1163869.22966406
2635938.95393353,1160722.37751988
2734357.1276499,1147234.35501254
2574723.64157951,1097817.18161282
2629164.91792785,1163351.21417317
2555673.53452711,1129518.38061038
2564869.04867565,1148306.92918568
2809133.93893613,1205610.8521962
2552857.00203408,1118292.13979672
2633229.676587,1070832.61862972
2789817.09124075,1214538.00336809
2705249.52112101,1192986.91087882
2834682.94007529,1137025.86421375
2508717.3450134,1077273.46246126
2833444.32802344,1264584.40123828
2561651.96648282,1090836.0171152
2560413.93478684,1092556.10189476
2746565.03453743,1102764.30325873
2743997.53864228,1110155.50385269
2717704.21667069,1095886.53288797
2624482.75297635,1093474.44832017
2799135.94281205,1143163.15392991
2610436.8239938,1105978.44534808
2687711.41894151,1117490.85680084
2688323.62618255,1281403.64326294
2743369.62880329,1097156.11392299
2708000.78734593,1148971.07793576
2732815.91162337,1149817.19863062
2560366.9861068,1110918.99168101
2804910.84580701,1232486.13577465
2679579.6156876,1244832.01627442
2587872.74436631,1159184.42746152
2632885.52971141,1171095.13185888
2613670.13528094,1207520.49627066
2592378.46795098,1115984.7479576
2634915.00678402,1160158.06690195
2600807.33311079,1198986.9730391
2556126.41226022,1092193.94913966
2695768.45883763,1188957.26832094
2591830.56970079,1094117.22263016
2742392.32993527,1235925.15543641
2678179.69974801,1080513.93802565
2791284.24930608,1263325.02918163
2543479.61265958,1113726.66624097
2831583.92638096,1211555.08107127
2498237.02180401,1083865.49539584
2659950.03634253,1184959.11478801
2802090.8427789,1199517.87075087
2831200.41329384,1157708.85263432
2719875.98008513,1096386.09088296
2647847.40778532,1137752.62551479
2697657.11159167,1149505.39275358
2635946.42816609,1120123.90347713
2609745.36188254,1068795.84044461
2632143.17905179,1170785.06960361
2770735.79190425,1183180.3494215
2780244.90819835,1143921.43880573
2662005.23471865,1203560.16818447
2722625.06005933,1087540.96572604
2771124.13482335,1183728.8157802
2562956.13092369,1084168.91657107
2691809.90034427,1288193.9679763
2534543.91349717,1111227.24933816
2552530.07004804,1117198.35153368
2590702.17477493,1103178.64909478
2644388.90560838,1097912.70252802
2743019.86647281,1239343.63910658
2662012.85347915,1203537.23358789
2636005.76672696,1160275.32586347
2590962.85217713,1248306.46645205
2672845.57025413,1205307.57391462
2767525.08205048,1160765.62959871
2806754.73881454,1142120.71092927
2713884.56327319,1098231.04378942
2626714.50564914,1092485.42143589
2683141.2858962,1247941.24629352
2564755.38614779,1067620.6023557
2690935.98355429,1239711.29872851
2568548.05344044,1116901.71480073
2767059.11770331,1109480.30500411
2733112.12809983,1086159.73805079
2626711.40920049,1092431.60217767
2624165.72782941,1094458.57912481
2666483.45902813,1211853.82578358
2544532.38660512,1103701.09605966
2648720.07949944,1164652.30409968
2684415.23855264,1083315.71125894
2631573.46696013,1170728.91180861
2672786.89921214,1198051.41359199
2558153.85761721,1081435.05128004
2732894.33342866,1192832.11755769
2590716.9864287,1102449.3722956
2669544.90141,1153915.60390236
2758205.53244872,1092265.11531266
2625064.90907204,1091043.33395716
2734130.61352257,1163689.87802064
2594628.3089558,1114430.09868587
2814686.6038061,1255491.11810643
2633143.76260858,1171362.46537573
2551394.54507393,1114430.37192627
2687582.53327804,1208521.2686084
2798415.72429741,1143010.05085609
2498108.39267176,1083874.8767842
2622597.6520377,1087457.718218
2741466.64125949,1093727.76473118
2725120.7473816,1098357.06614169
2617043.16221317,1147255.55858362
2686224.21098799,1086139.67321901
2666040.56748958,1211584.40792715
2543756.79571145,1071437.23518428
2557043.32089943,1083890.91463645
2641689.71781433,1155289.0864105
2764333.27311194,1178517.38982844
2556851.3420239,1086865.22109183
2570771.08245943,1110059.4338384
2694335.71473591,1168247.34165037
2789342.98761149,1260136.22808994
2641599.68389669,1105594.23189951
2640168.0994684,1159296.47770893
2555516.19408026,1080925.61064904
2577767.65256584,1081925.21538531
2743989.40670465,1234716.56076073
2617312.46903804,1294682.84818357
2789214.20137458,1218837.86842627
2646174.4763457,1122355.67487358
2785699.12087648,1195656.56991035
2667553.79318435,1162742.28630142
2557154.28401646,1080971.20464138
2746553.28083229,1113067.87960829
2635871.27742981,1157353.36661368
2748340.3723815,1106309.88681033
2641192.80507805,1086591.0855636
2623970.07568574,1096965.9826106
2679920.08002001,1211856.12451418
2674706.94901043,1072149.00958948
2600981.52574462,1199573.31092537
2836584.8372128,1182000.15604386
2831257.82480482,1157459.75288078
2672957.15221418,1140729.68831578
2498189.2799931,1083786.68675803
2784242.05082625,1152384.44543974
2688210.46533652,1166859.68239258
2600244.29866343,1145281.47014785
2833206.96446256,1232472.68859103
2552016.96229386,1084281.73536142
2689198.1032443,1166347.72600385
2845693.21297271,1143899.6453681
2493182.45360026,1120867.37839454
2775808.66048761,1149415.41088546
2609605.87628064,1126464.83542501
2589159.42964554,1288853.89736254
2771151.11946504,1172416.94720843
2659935.41362524,1184971.19760867
2762207.60946125,1079893.98958734
2557200.38690431,1080880.16339188
2504788.21910168,1173984.14901739
2632975.93454229,1168224.14874302
2560326.83210586,1092651.94384611
2605898.36136484,1124509.17057921
2642982.79033475,1164916.49532334
2569846.31890428,1080018.03030981
2704786.30838045,1114975.4922906
2560212.96926749,1110867.97643753
2524354.9509466,1080483.0414654
2624059.04294284,1096636.05316088
2618241.18150552,1172565.33016051
2628204.33201479,1246884.6658809
2559570.26086799,1086794.69809772
2775540.52109351,1227362.87790426
2675213.86249471,1141626.88835458
2819284.63729355,1152476.3044508
2723478.09195588,1118322.23631836
2728770.24735301,1075491.32681304
2537821.09562729,1150774.07880663
2828395.92980457,1125101.69717705
2623715.65790449,1096474.73524436
2597868.50490109,1142089.9834384
2616248.47417961,1082442.57278243
2655717.63116565,1143120.13452597
2665893.10792164,1132477.18018667
2643490.06306729,1094426.5824761
2705136.78773906,1114081.32217578
2607115.00320428,1065383.48945671
2696858.29728351,1107587.48647981
2728894.97193446,1075630.2875965
2736300.94682565,1143445.84910615
2724948.1433563,1198663.04872173
2795493.62067213,1146250.6084449
2545650.58590995,1087619.6288173
2632392.3511909,1155554.97742848
2809489.72804485,1115280.43921852
2611560.94001793,1268838.19676625
2679587.2966177,1244805.87823778
2835382.50068356,1190308.04650396
2556091.52902066,1086073.45932811
2664023.72168079,1199625.99919754
2628163.25909047,1113915.54278426
2537376.57274783,1103212.65829618
2507741.8781795,1137421.0223896
2624630.4837187,1093406.45287614
2632323.19155818,1170812.38178765
2597530.49938737,1127580.17121055
2561926.82082407,1072708.68892646
2682884.72732953,1083416.98399422
2786489.60400044,1154047.8661128
2836654.25210398,1070030.45295645
2820423.21092865,1075259.52727377
2666214.83893493,1211376.21069704
2818997.10304586,1207461.24375383
2564292.90340186,1167457.20056497
2780500.74163329,1189480.09294468
2789223.93913281,1155172.0241614
2569734.54310329,1141839.89221526
2775649.29401432,1255055.34682243
2810512.71065709,1225621.71484998
2771210.40234702,1184118.3038877
2521533.36504235,1084439.82587396
2632067.0231659,1170519.63751392
2590537.67962862,1117253.54607279
2663654.38041129,1197136.4759087
2557680.81976441,1085272.3019206
2547288.64023441,1148867.40917844
2803435.28976838,1231355.35838825
2629249.48739628,1077427.98016141
2632884.31412887,1171233.41879816
2637321.87306926,1106128.94927926
2614368.52273473,1109581.12385894
2741153.85797367,1094557.80675771
2834839.42902374,1159811.41258996
2806260.63399833,1155327.12994507
2525457.36369184,1117556.01194947
2813760.98021628,1085456.61718613
2529711.91267181,1067868.24707357
2602271.39798656,1128552.3994963
2784642.88766607,1216405.26812388
2620982.5633865,1086895.43680518
2614509.67254021,1109468.29121866
2751398.13632133,1079431.23016072
2623643.99690439,1093966.05699507
2844868.96213356,1148919.91363498
2745898.84937479,1083779.08894468
2787642.91803592,1157850.26925088
2557256.66650548,1080877.8773242
2527279.82962931,1097894.66462375
2620999.6831347,1088501.88700963
2804907.59583612,1077371.19600346
2640632.9952075,1188426.17506272
2815531.71388795,1224481.45775885
2637502.0398712,1106367.40369987
2543831.50462428,1103334.798235
2743615.18430376,1234170.79463493
2805254.47422883,1237118.75447444
2566017.7610403,1132554.41137856
2748657.79884963,1101110.40612633
2842768.79103808,1128041.02681479
2561028.46299193,1101928.82112852
2788125.92793057,1152512.03533948
2742107.63390097,1224382.4269888
2496125.87302803,1120075.59911644
2581915.92378726,1130623.6252247
2600445.26553015,1199421.0606941
2784740.09688069,1152320.52431541
2487141.94830623,1120525.30821005
2764806.73654988,1071150.34650856
2541912.27312443,1088485.25934221
2782719.82572767,1114344.21196661
2660137.9476498,1184183.67017093
2807401.34669172,1248998.38666073
2729175.64993205,1220209.70237943
2782081.76972608,1132590.54167507
2731055.12209455,1090657.24111939
2768271.678244,1101321.87604933
2764489.40818668,1145968.59437036
2618801.83709827,1108580.70250632
2482713.7139225,1205894.73150941
2659297.39153878,1174312.79417386
2758225.59815941,1223043.88435013
2631292.04071906,1170548.23703889
2504897.14247122,1077969.26575139
2504639.67224531,1077678.77069924
2624190.5656478,1096747.96468183
2725754.41579225,1110571.60165495
2716465.34866145,1093642.3532781
2708806.56335345,1107563.7121926
2562926.27573988,1088681.39955745
2626637.96217846,1092444.17612727
2813801.74359536,1185559.35214615
2808343.21747674,1157375.81223892
2697260.11369578,1167934.10274554
2642906.10665655,1169446.5403552
2824350.5267615,1240037.94259372
2638541.92461422,1162754.96350651
2728147.64419158,1073245.41874029
2695561.55144979,1130070.4928269
2783261.509952,1145094.75700337
2751330.24916524,1079714.55754028
2733579.78420805,1080067.69357577
2641904.41771507,1155231.54585291
2654125.85523625,1116286.96150751
2560790.37860618,1077167.81016523
2718220.22343011,1096027.41965592
2638263.6737906,1163108.14815132
2648779.11324768,1177953.10950684
2640135.06860311,1160744.00313782
2703661.58502899,1133950.94422859
2670176.29275473,1171843.01211414
2682227.49862356,1213039.14099142
2572580.63342784,1159195.57650583
2742840.05482139,1097505.14045023
2698335.29216454,1147573.4444356
2747376.89833143,1149309.40090291
2634135.01844422,1126935.75421543
2644924.00477345,1163515.38784425
2618101.18203524,1149296.08124358
2641644.08157103,1081614.56665208
2639972.79685528,1159412.237945
2503721.51781212,1112140.45936675
2614597.41173505,1136413.30286987
2787723.80139711,1200165.48046644
2743684.7365405,1234948.83881582
2624612.25714024,1093525.77415901
2633052.13603795,1171165.41486942
2556994.44918344,1087213.50539304
2835631.25219296,1275045.84773434
2754551.19692475,1081016.01614792
2783946.53912408,1187337.17084173
2555194.1527922,1076231.37835742
2631256.67775577,1152028.43078895
2628076.97145189,1095838.28237973
2838787.7266047,1265821.75586998
2814442.09700173,1254969.68976065
2605141.37618926,1281769.23735803
2796956.73076416,1226685.85940725
2647699.69396898,1140042.97493181
2675203.47447441,1180403.4060017
2540538.93469111,1135482.62864885
2828159.36811545,1159106.64303374
2691363.06304133,1197782.76680646
2639892.5801473,1168899.72814012
2549762.41238626,1078243.25905978
2746774.42292853,1253985.57873157
2790143.97958164,1175190.53372497
2617348.94929533,1067159.9619087
2666081.66516431,1150832.59379721
