"longitude","latitude"
2565044.28143266,1142418.89809379
2683846.78002458,1248196.22164693
2700923.98694931,1244381.14709991
2500587.85839299,1118481.6446558
2694611.28214718,1244437.04423618
2566626.52322221,1134008.63167797
2528080.26992932,1151655.82855643
2656475.49816084,1260317.29716606
2566762.39190147,1132130.27898847
2662097.7038822,1203478.35745679
2715078.32587869,1162924.75910624
2688344.82144626,1281283.56703183
2559274.65314785,1138242.76315731
2621377.23736225,1240804.7669121
2781391.75857776,1186071.80199598
2566133.64371714,1130615.50755208
2609747.67683164,1268330.87527007
2559343.1267511,1142554.85262071
2561372.28752801,1204402.48831055
2709848.26760274,1102705.55053512
2784209.02518229,1151593.7939605
2683458.18784447,1250253.91260297
2503954.05158151,1122293.84807944
2498455.09444651,1117183.91212078
2538286.79766351,1151037.9125223
2682911.45470355,1245292.82739157
2588783.77840607,1106523.95584498
2685966.59466296,1246659.45081039
2683323.70002663,1247493.24003432
2506924.0252107,1143603.44356005
2673373.26366691,1247019.38613279
2534079.29429896,1152979.4239079
2535341.4153196,1151981.687828
2660201.68562093,1185528.29228489
2619125.95080751,1123747.18738963
2720515.50083173,1091936.00106639
2566262.28332775,1132128.06792259
2650865.46663697,1137302.67319261
2563872.00582704,1098980.55044531
2668656.05087828,1198000.74718901
2694506.79057439,1165468.31509688
2587133.10528118,1199529.56871111
2594803.75892278,1168043.56669538
2621131.93031955,1173939.49818865
2631553.03230528,1170390.48235141
2578504.67659262,1183374.07065713
2629362.46367407,1169179.94424133
2699463.48267002,1231024.10098248
2784920.52396228,1152350.32634797
2599041.04395523,1202960.34635863
2673146.39805327,1235820.93011555
2718792.91106762,1094033.15023604
2496110.12191821,1117452.27525884
2646472.43702302,1177923.35268647
2561612.34514817,1195000.11384734
2561603.8818975,1195001.79967296
2566652.60009188,1132238.00019013
2680663.81264872,1245313.52388799
2624898.02385563,1199500.09701483
2538122.3469277,1152358.05177596
2717706.91351097,1100156.68963623
2684804.1238355,1245901.5694942
2613144.63456437,1212426.79472532
2683373.97097271,1247468.16211825
2608310.25824132,1186074.32868831
2662120.16270635,1203481.64372205
2718663.87664319,1106638.8621773
2633130.97136903,1162907.53862453
2696235.39099333,1238392.90057437
2566557.90040477,1132289.95740257
2495288.82714636,1116670.60121317
2498381.13903173,1117265.66796022
2626799.24316824,1092478.30829317
2706659.19167201,1265398.11184096
2770029.45151679,1147404.79141512
2571677.80300444,1105404.22974453
2511663.32289156,1120814.33838827
2559906.99932195,1138401.48748741
2672839.8321411,1242363.5683233
2573311.50363545,1161141.4932629
2665855.83896179,1211840.20647437
2682663.2926328,1239149.19534489
2626813.03799746,1092464.32452736
2625160.13840917,1256887.58733998
2595711.27206546,1148009.53841269
2537568.76251166,1152189.48420872
2733403.59070449,1164219.06487168
2677843.4269543,1210686.45370467
2677832.08451495,1210708.23391346
2607580.03231897,1126405.06798513
2610859.81174283,1268553.59335925
2528361.69594646,1151922.4927416
2700460.33184984,1115829.0203326
2566806.81495855,1132735.54843191
2598518.92352229,1122113.58456598
2568013.66926847,1132258.19263085
2584297.98124159,1220351.76880631
2565974.63962673,1131666.22742214
2565990.65012566,1131575.55408694
2565995.02401228,1131622.51627324
2567814.61882017,1132016.22910241
2566351.03439702,1131188.75178368
2566152.33476066,1132709.30271104
2567156.57251687,1132553.69627411
2665084.87906656,1211495.1371277
2716325.14921989,1135587.26674984
2499819.2194926,1117806.59181417
2637121.94292228,1106549.05210506
2500904.70968879,1118454.43494743
