name,val_ha,val_px
Jura1,3.523333333,0.220208333
Jura2,3.153333333,0.197083333
Jura3,1.9,0.11875
Plateau1,4.6,0.2875
Plateau2,4.606666667,0.287916667
Plateau3,1.493333333,0.093333333
Prealpes1,4.45,0.278125
Prealpes2,4.15,0.259375
Prealpes3,2.486666667,0.155416667
Alpes1,3.306666667,0.206666667
Alpes2,2.493333333,0.155833333
Alpes3,1.84,0.115
SuddesAlpes1,2.506666667,0.156666667
SuddesAlpes2,2.193333333,0.137083333
SuddesAlpes3,1.67,0.104375
